,name,hp,hp formula,hp special,ac,ac special,cr,str,dex,con,int,wis,cha,str save,dex save,con save,int save,wis save,cha save,walk,fly,swim,burrow,climb,hover,size,alignment,type,source
34,Amrik Vanthampur,66,12d8 + 12,-,17,-,3,12,18,12,14,14,15,-,-,-,-,-,-,30,-,-,-,-,-,M,LE,humanoid,BGDIA
35,Archduke Zariel of Avernus,580,40d10 + 360,-,21,-,26,27,24,28,26,27,30,-,-,-,+16,+16,+18,50,150,-,-,-,-,L,LE,fiend,BGDIA
36,Arkhan the Cruel,221,26d8 + 104,-,23,-,16,20,12,18,10,10,18,-,-,-,-,+5,+9,40,-,-,-,-,-,M,LE,humanoid,BGDIA
37,Bel,364,27d10 + 216,-,19,-,25,28,14,26,25,19,26,-,+10,+16,-,+12,-,30,60,-,-,-,-,L,LE,fiend,BGDIA
38,Bitter Breath,178,17d10 + 85,-,18,-,11,22,17,21,12,16,17,+10,+7,-,-,+7,+7,20,60,-,-,-,-,L,LE,fiend,BGDIA
39,Black Gauntlet of Bane,51,6d8 + 24,-,16,-,6,18,11,18,12,15,18,-,-,-,-,+5,-,30,-,-,-,-,-,M,LE,humanoid,BGDIA
40,Bone Whelk,27,5d10,-,12,-,1/4,10,5,11,6,9,3,-,-,-,-,-,-,15,-,-,-,15,-,L,U,monstrosity,BGDIA
41,Burney the Barber,350,20d20 + 140,-,21,-,21,27,12,25,20,17,19,-,+8,+14,-,+10,+11,40,80,-,-,40,-,G,CG,dragon,BGDIA
42,Chukka,13,3d8,-,13,-,1/4,10,16,10,11,10,10,-,-,-,-,-,-,30,-,-,-,-,-,M,CN,humanoid,BGDIA
43,Clonk,13,3d8,-,13,-,1/4,10,16,10,11,10,10,-,-,-,-,-,-,30,-,-,-,-,-,M,CN,humanoid,BGDIA
44,Crokek'toeck,297,17d20 + 119,-,15,-,14,28,10,24,6,10,13,-,-,+12,-,+5,-,60,-,60,-,-,-,G,CE,fiend,BGDIA
45,Death's Head of Bhaal,76,8d8 + 40,-,15,-,5,20,20,20,14,13,16,-,-,-,-,-,-,50,-,-,-,-,-,M,CE,humanoid,BGDIA
46,Dryad Spirit,58,13d8,-,12,-,4,1,14,10,12,11,17,-,-,-,-,+2,+5,0,40,-,-,-,True,M,CE,undead,BGDIA
47,Duke Thalamra Vanthampur,78,12d8 + 24,-,10,-,4,17,10,15,13,16,18,-,-,-,-,-,-,30,-,-,-,-,-,M,LE,humanoid,BGDIA
48,Elliach,40,9d8,-,12,-,6,9,14,11,17,12,11,-,-,-,+6,+4,-,30,-,-,-,-,-,M,LE,humanoid,BGDIA
49,Feonor,99,18d8 + 18,-,12,-,12,10,14,12,20,15,16,-,-,-,+9,+6,-,30,-,-,-,-,-,M,NE,humanoid,BGDIA
50,Fiendish Flesh Golem,210,20d10 + 100,-,12,-,8,20,9,20,7,10,5,-,-,-,-,-,-,30,30,-,-,-,True,L,U,construct,BGDIA
51,Fist of Bane,22,4d8 + 4,-,18,-,1/2,16,11,13,10,12,11,-,-,-,-,-,-,30,-,-,-,-,-,M,LE,humanoid,BGDIA
52,Flying Dagger,7,3d4,-,17,-,1/4,12,15,11,1,5,1,-,+4,-,-,-,-,0,50,-,-,-,True,T,U,construct,BGDIA
53,Gideon Lightward,136,16d8 + 64,-,11,-,6,18,13,18,10,18,13,-,+4,+7,-,+7,-,30,-,-,-,-,-,M,LE,undead,BGDIA
54,Harkina Hunt,4,1d8,-,10,-,0,10,10,10,10,10,10,-,-,-,-,-,-,30,-,-,-,-,-,M,A,humanoid,BGDIA
55,Hellwasp,52,8d10 + 8,-,19,-,5,18,15,12,10,10,7,-,+5,-,-,+3,-,10,60,-,-,-,True,L,LE,fiend,BGDIA
56,Hellwasp Grub,4,1d6 + 1,-,13,-,1/4,5,14,12,1,7,3,-,-,-,-,-,-,30,-,-,-,30,-,S,U,beast,BGDIA
57,Hollyphant,36,8d6 + 8,-,18,-,5,10,11,12,16,19,16,-,+3,+4,-,-,+6,20,120,-,-,-,-,S,LG,celestial,BGDIA
58,Iron Consul,45,6d8 + 18,-,16,-,2,17,11,16,12,15,16,-,-,-,-,+4,-,30,-,-,-,-,-,M,LE,humanoid,BGDIA
59,Kostchtchie,243,18d10 + 144,-,16,-,25,30,12,27,18,22,19,-,+9,+16,-,+14,-,40,-,-,-,-,-,L,CE,fiend,BGDIA
60,Krull,117,18d8 + 36,-,17,-,6,20,14,15,12,20,12,-,-,-,-,+8,+4,30,-,-,-,-,-,M,LE,humanoid,BGDIA
61,Lulu,36,8d6 + 8,-,18,-,5,10,11,12,16,19,16,-,+3,+4,-,-,+6,20,120,-,-,-,-,S,LG,celestial,BGDIA
62,Mad Maggie,112,15d8 + 45,-,17,-,-,18,15,16,16,14,16,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,fiend,BGDIA
63,Mahadi the Rakshasa,195,23d8 + 92,-,17,-,14,14,18,18,14,18,20,-,-,-,-,+9,+10,40,-,-,-,-,-,M,LE,fiend,BGDIA
64,Master of Souls,45,6d8 + 18,-,12,-,4,10,14,17,19,14,13,-,-,-,-,+4,-,30,-,-,-,-,-,M,NE,humanoid,BGDIA
65,Mortlock Vanthampur,90,12d8 + 36,-,12,-,3,18,14,17,10,12,13,-,-,-,-,-,-,30,-,-,-,-,-,M,LE,humanoid,BGDIA
66,Necromite of Myrkul,13,2d8 + 4,-,11,-,1/2,10,13,15,16,11,10,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,humanoid,BGDIA
67,Necrotic Centipede,195,17d12 + 85,-,17,-,11,24,13,21,4,10,5,-,-,-,-,-,-,30,-,-,20,-,-,H,U,monstrosity,BGDIA
68,Night Blade,11,2d8 + 2,-,12,-,1/4,11,15,12,10,11,14,-,-,-,-,-,-,40,-,-,-,-,-,M,CE,humanoid,BGDIA
69,Nine-Fingers Keene,84,13d8 + 26,-,15,-,5,12,18,14,13,17,14,-,+7,-,+4,-,-,30,-,-,-,-,-,M,N,humanoid,BGDIA
70,Peacock,5,1d8 + 1,-,10,-,0,7,10,13,2,12,4,-,-,-,-,-,-,10,50,-,-,-,-,M,U,beast,BGDIA
71,Princeps Kovik,85,10d8 + 40,-,16,-,8,18,15,18,11,12,14,-,-,+7,-,+4,+5,30,-,-,-,-,-,M,LE,fiend,BGDIA
72,Raggadragga,120,12d8 + 24,-,10,-,4,17,10,15,10,11,8,-,-,-,-,-,-,-,-,-,-,-,-,M,NE,humanoid,BGDIA
73,Reaper of Bhaal,27,5d8 + 5,-,15,-,2,11,20,13,15,12,16,-,-,-,-,-,-,40,-,-,-,-,-,M,CE,humanoid,BGDIA
74,Rilsa Rael,52,8d8 + 16,-,15,-,3,14,18,14,10,11,15,-,+6,-,-,+2,-,30,-,-,-,-,-,M,N,humanoid,BGDIA
75,Skeletal Rats,24,7d8 - 7,-,10,-,1/4,9,11,9,2,10,3,-,-,-,-,-,-,30,-,-,-,-,-,M,U,undead,BGDIA
76,Skull Lasher of Myrkul,32,5d8 + 10,-,12,-,1,10,14,15,16,13,10,-,-,-,-,+3,-,30,-,-,-,-,-,M,NE,humanoid,BGDIA
77,Smiler the Defiler,165,22d8 + 66,-,18,-,7,14,20,16,18,11,18,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,fey,BGDIA
78,Sylvira Savikas,99,18d8 + 18,-,12,-,12,10,14,12,20,15,16,-,-,-,+9,+6,-,30,-,-,-,-,-,M,LN,humanoid,BGDIA
79,Thavius Kreeg,40,9d8,-,10,-,1/2,12,10,11,15,18,16,-,-,-,-,-,-,30,-,-,-,-,-,M,LE,humanoid,BGDIA
80,Thurstwell Vanthampur,5,2d8 - 4,-,9,-,1/8,7,8,6,15,17,12,-,-,-,-,-,-,30,-,-,-,-,-,M,LE,humanoid,BGDIA
81,Torogar Steelfist,168,16d10 + 80,-,17,-,11,25,17,20,8,9,16,+11,-,+9,-,-,-,40,-,-,-,-,-,L,LE,monstrosity,BGDIA
82,Traxigor,99,18d8 + 18,-,12,-,12,3,14,12,20,15,16,-,-,-,+9,+6,-,30,-,-,-,-,-,T,CG,beast,BGDIA
83,Tressym,5,2d4,-,12,-,0,3,15,10,11,12,12,-,-,-,-,-,-,40,40,-,-,30,-,T,A,monstrosity,BGDIA
84,Ulder Ravengard,112,15d8 + 45,-,20,-,5,17,14,16,11,10,17,-,-,+6,-,+3,-,25,-,-,-,-,-,M,N,humanoid,BGDIA
85,Undead Tree,138,12d12 + 60,-,16,-,9,23,8,21,12,16,12,-,-,-,-,-,-,30,-,-,-,-,-,H,CG,undead,BGDIA
86,Animated Broom,17,5d6,-,15,-,1/4,10,17,10,1,5,1,-,-,-,-,-,-,0,50,-,-,-,True,S,-,construct,CM
87,Animated Chained Library,45,6d10 + 12,-,14,-,1,15,8,14,1,5,1,-,-,-,-,-,-,10,-,-,-,-,-,L,-,construct,CM
88,Arrant Quill,135,18d8 + 54,-,14,-,11,10,18,16,16,15,20,-,-,-,+7,+6,+9,30,-,-,-,-,-,M,NE,humanoid,CM
89,Bak Mei,102,12d8 + 48,-,17,-,13,10,18,18,13,17,16,+5,+9,+9,+6,+8,+8,40,-,-,-,-,-,M,LE,humanoid,CM
90,Canopic Golem,252,24d10 + 120,-,17,-,13,20,10,20,7,11,1,-,-,-,+3,+5,+0,30,-,-,-,-,-,L,-,construct,CM
91,Chwinga,5,2d4,-,15,-,0,1,20,10,14,16,16,-,-,-,-,-,-,20,-,20,-,20,-,T,N,elemental,CM
92,Cloud Giant Ghost,104,16d12,-,15,-,9,27,11,10,12,16,17,-,-,-,-,+7,+7,0,40,-,-,-,True,H,-,undead,CM
93,Constructed Commoner,6,1d8 + 2,-,15,-,0,10,10,15,10,10,10,-,-,-,-,-,-,25,-,-,-,-,-,M,-,construct,CM
94,Corrupted Avatar of Lurue,90,12d10 + 24,-,14,-,8,18,14,15,11,17,16,-,-,-,+3,+6,+6,50,50,-,-,-,True,L,-,monstrosity,CM
95,Dragon Tortoise,341,22d20 + 110,-,20,-,17,25,10,20,10,12,12,-,+6,+11,-,+7,-,20,-,-,-,-,-,G,N,dragon,CM
96,Faerl,9,2d8,-,15,-,1/8,11,12,11,12,14,16,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,humanoid,CM
97,Fungal Servant,97,13d8 + 39,-,17,-,15,18,10,17,11,18,16,-,-,+8,+5,+9,+8,20,-,-,-,-,-,M,LE,undead,CM
98,Gingwatzim,39,6d6 + 18,-,12,-,2,3,15,16,4,11,6,-,-,-,-,-,-,30,30,-,-,-,True,S,-,aberration,CM
99,Grippli Warrior,13,3d6 + 3,-,12,-,1/4,10,15,12,10,14,10,-,-,-,-,-,-,30,-,30,-,30,-,S,-,humanoid,CM
100,Hag of the Fetid Gaze,82,11d8 + 33,-,17,-,-,18,12,16,13,14,14,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,fey,CM
101,Immortal Lotus Monk,65,10d8 + 20,-,15,-,5,12,16,14,11,14,10,-,-,-,-,-,-,30,-,-,-,-,-,M,-,humanoid,CM
102,Jade Tigress,71,11d8 + 21,-,15,-,8,18,14,15,11,16,11,+7,-,+5,-,-,-,40,-,-,-,-,-,M,LE,humanoid,CM
103,K'Tulah,27,5d8 + 5,-,11,-,2,10,12,13,12,15,11,-,-,-,-,-,-,30,-,-,-,-,-,M,NG,humanoid,CM
104,Kiddywidget,15,2d6 + 8,-,16,-,1/2,6,14,18,1,10,1,-,-,-,-,-,-,20,-,-,-,20,-,S,-,construct,CM
105,Lichen Lich,225,30d8 + 90,-,20,-,18,11,16,16,14,20,16,-,-,+9,+8,+11,+9,30,-,-,-,-,-,M,-,undead,CM
106,Lightning Golem,93,11d8 + 44,-,9,-,5,19,9,18,6,10,5,-,-,-,-,-,-,30,-,-,-,-,-,M,N,construct,CM
107,Master Sage,54,12d8,-,10,-,5,8,10,10,20,18,11,-,-,-,-,-,-,30,-,-,-,-,-,M,-,humanoid,CM
108,Miirym,262,25d10 + 125,-,10,-,22,17,10,20,18,15,23,-,+7,+12,+11,+9,+13,0,60,-,-,-,True,L,-,undead,CM
109,Mimic Chair,30,9d8 + 18,-,12,-,2,17,12,15,5,13,8,-,-,-,-,-,-,15,-,-,-,-,-,M,N,monstrosity,CM
110,Naiad,31,7d8,-,15,-,2,10,16,11,15,10,18,-,-,-,-,-,-,30,-,30,-,-,-,M,CN,fey,CM
111,Nintra Siotta,306,36d10 + 108,-,17,-,16,16,24,16,17,15,24,+8,+12,-,-,+7,-,40,40,-,-,-,True,L,CE,fey,CM
112,Parasite-infested Behir,168,16d12 + 64,-,17,-,11,23,16,18,7,14,12,-,-,-,-,-,-,50,-,-,-,40,-,H,NE,undead,CM
113,Ram Sugar,33,6d8 + 6,-,13,-,2,11,14,12,10,13,14,-,-,-,-,-,-,30,-,-,-,-,-,M,CN,humanoid,CM
114,Sage,22,5d8,-,10,-,1/2,8,10,10,18,15,11,-,-,-,-,-,-,30,-,-,-,-,-,M,-,humanoid,CM
115,Sapphire Sentinel,178,17d10 + 85,-,17,-,10,22,9,20,3,11,1,-,-,-,-,-,-,30,-,-,-,-,-,L,U,construct,CM
116,Shemshime,31,7d8,-,13,-,4,6,17,10,17,14,16,-,-,-,+5,+4,-,0,40,-,-,-,True,M,-,undead,CM
117,Skitterwidget,85,10d8 + 40,-,18,-,5,16,14,18,3,10,1,-,-,-,-,-,-,30,-,-,-,30,-,M,-,construct,CM
118,Steel Crane,76,9d8 + 36,-,17,-,8,13,18,18,13,17,14,-,+7,-,+4,-,-,40,-,-,-,-,-,M,LE,humanoid,CM
119,Storm Giant Skeleton,204,24d12 + 48,-,13,-,16,29,14,15,3,8,1,+14,-,+7,-,-,-,50,-,-,-,-,-,H,-,undead,CM
120,Swarm of Animated Books,22,4d8 + 4,-,12,-,1/4,10,13,12,1,10,1,-,-,-,-,-,-,0,30,-,-,-,True,M,-,construct,CM
121,Valin Sarnaster,97,13d8 + 39,-,17,-,16,18,10,17,11,18,16,-,-,+8,+5,+9,+8,20,-,-,-,-,-,M,LE,undead,CM
122,Varnyr,9,2d8,-,15,-,1/8,11,12,11,12,14,16,-,-,-,-,-,-,30,-,-,-,-,-,M,CG,humanoid,CM
123,Wood Elf Wizard,45,10d8,-,12,-,7,9,14,10,17,13,12,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,humanoid,CM
124,Zikran,144,18d8 + 18,-,12,-,12,10,14,12,20,15,16,-,-,-,+9,+6,-,30,-,-,-,-,-,M,A,humanoid,CM
125,Zikzokrishka,225,18d12 + 108,-,19,-,17,25,10,23,16,15,19,-,+6,+12,-,+8,+10,40,80,-,30,-,-,H,LE,undead,CM
126,Amber Golem,178,17d10 + 85,-,17,-,10,22,9,20,3,11,1,-,-,-,-,-,-,30,-,-,-,-,-,L,U,construct,CoS
127,Anastrasya Karelova,82,11d8 + 33,-,15,-,5,16,16,16,11,10,12,-,+6,-,-,+3,-,30,-,-,-,-,-,M,NE,undead,CoS
128,Animated Halberd,17,5d6,-,15,-,1/4,12,15,11,1,5,1,-,+4,-,-,-,-,0,50,-,-,-,True,S,U,construct,CoS
129,Arabelle,2,1d8,-,10,-,0,10,10,10,10,10,10,-,-,-,-,-,-,30,-,-,-,-,-,M,LN,humanoid,CoS
130,Armored Saber-Toothed Tiger,84,7d10 + 14,-,17,-,3,18,14,15,3,12,8,-,-,-,-,-,-,40,-,-,-,-,-,L,U,beast,CoS
131,Arrigal,78,12d8 + 24,-,15,-,8,11,16,14,13,11,10,-,+6,-,+4,-,-,30,-,-,-,-,-,M,NE,humanoid,CoS
132,Baba Lysaga,120,16d8 + 48,-,15,-,11,18,10,16,20,17,13,-,-,-,-,+7,-,30,-,-,-,-,-,M,CE,humanoid,CoS
133,Baba Lysaga's Creeping Hut,263,17d20 + 85,-,16,-,11,26,7,20,1,3,3,-,-,+9,-,+0,+0,30,-,-,-,-,-,G,U,construct,CoS
134,Baron Vargas Vallakovich,9,2d8,-,15,-,1/8,11,12,11,12,14,16,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,humanoid,CoS
135,Barovian Commoner,4,1d8,-,10,-,0,10,10,10,10,10,10,-,-,-,-,-,-,30,-,-,-,-,-,M,A,humanoid,CoS
136,Barovian Scout,16,3d8 + 3,-,13,-,1/2,11,14,12,11,13,11,-,-,-,-,-,-,30,-,-,-,-,-,M,A,humanoid,CoS
137,Barovian Witch,16,3d8 + 3,-,10,-,1/2,7,11,13,14,11,12,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,humanoid,CoS
138,Beucephalus,104,8d10 + 24,-,13,-,3,18,15,16,10,13,15,-,-,-,-,-,-,60,90,-,-,-,-,L,NE,fiend,CoS
139,Bluto Krogarov,4,1d8,-,10,-,0,10,10,10,10,10,10,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,humanoid,CoS
140,Bray Martikov,7,2d6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,LG,-,CoS
141,Brom Martikov,7,2d6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,LG,-,CoS
142,Broom of Animated Attack,17,5d6,-,15,-,1/4,10,17,10,1,5,1,-,-,-,-,-,-,0,50,-,-,-,True,S,U,construct,CoS
143,Clovin Belview,26,4d8 + 8,-,11,-,1/4,12,9,15,9,10,6,-,-,-,-,-,-,20,-,-,-,-,-,M,NE,humanoid,CoS
144,Cyrus Belview,26,4d8 + 8,-,11,-,1/4,12,9,15,9,10,6,-,-,-,-,-,-,20,-,-,-,-,-,M,A,humanoid,CoS
145,Danika Dorakova,31,7d8,-,12,-,2,10,15,11,13,15,14,-,-,-,-,-,-,-,-,-,-,-,-,M,LG,humanoid,CoS
146,Davian Martikov,31,7d8,-,12,-,2,10,15,11,13,15,14,-,-,-,-,-,-,-,-,-,-,-,-,M,LG,humanoid,CoS
147,Distended Corpse,4,1d8,-,10,-,0,10,10,10,10,10,10,-,-,-,-,-,-,20,-,-,-,-,-,M,A,humanoid,CoS
148,Donavich,9,2d8,-,10,-,1/4,10,10,10,10,14,11,-,-,-,-,-,-,30,-,-,-,-,-,M,LG,humanoid,CoS
149,Doru,82,11d8 + 33,-,15,-,5,16,16,16,11,10,12,-,+6,-,-,+3,-,30,-,-,-,-,-,M,NE,undead,CoS
150,Emil Toranescu,72,9d8 + 18,-,11,-,3,15,13,14,10,11,10,-,-,-,-,-,-,-,-,-,-,-,-,M,CE,humanoid,CoS
151,Escher,82,11d8 + 33,-,15,-,5,16,16,16,11,10,12,-,+6,-,-,+3,-,30,-,-,-,-,-,M,NE,undead,CoS
152,Exethanter,99,18d8 + 54,-,17,-,10,11,16,16,20,14,16,-,-,+10,+12,+9,-,30,-,-,-,-,-,M,LNXCE,undead,CoS
153,Ezmerelda d'Avenir,82,11d8 + 33,-,17,-,8,14,19,16,16,11,17,-,-,-,-,+3,-,30,-,-,-,-,-,M,CG,humanoid,CoS
154,Gadof Blinsky,4,1d8,-,10,-,0,10,10,10,10,10,10,-,-,-,-,-,-,30,-,-,-,-,-,M,CG,humanoid,CoS
155,Gertruda,4,1d8,-,10,-,0,10,10,10,10,10,10,-,-,-,-,-,-,30,-,-,-,-,-,M,NG,humanoid,CoS
156,Guardian Portrait,22,5d8,-,5,-,1,1,1,10,14,10,10,-,-,-,-,-,-,0,-,-,-,-,-,M,U,construct,CoS
157,Helga Ruvak,82,11d8 + 33,-,15,-,5,16,16,16,11,10,12,-,+6,-,-,+3,-,30,-,-,-,-,-,M,NE,undead,CoS
158,Henrik van der Voort,4,1d8,-,10,-,0,10,10,10,10,10,10,-,-,-,-,-,-,30,-,-,-,-,-,M,LE,humanoid,CoS
159,Ireena Kolyana,14,2d8,-,15,-,1/8,11,12,11,12,14,16,-,-,-,-,-,-,30,-,-,-,-,-,M,LG,humanoid,CoS
160,Ismark Kolyanovich,58,9d8 + 18,-,17,-,3,16,13,14,10,11,10,-,-,-,-,-,-,30,-,-,-,-,-,M,LG,humanoid,CoS
161,Izek Strazni,112,15d8 + 45,-,14,-,5,18,15,16,10,9,15,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,humanoid,CoS
162,Kasimir Velikov,40,9d8,-,12,-,6,9,14,11,17,12,11,-,-,-,+6,+4,-,30,-,-,-,-,-,M,N,humanoid,CoS
163,Kiril Stoyanovich,90,9d8 + 18,-,11,-,3,15,13,14,10,11,10,-,-,-,-,-,-,-,-,-,-,-,-,M,CE,humanoid,CoS
164,Knight of the Order,136,16d8 + 64,-,13,-,5,18,14,18,13,16,18,+7,-,+7,-,+6,+7,30,-,-,-,-,-,M,LE,undead,CoS
165,Lady Fiona Wachter,27,5d8 + 5,-,10,-,2,10,10,12,13,16,13,-,-,-,-,-,-,30,-,-,-,-,-,M,LE,humanoid,CoS
166,Lady Lydia Petrovna,4,1d8,-,10,-,0,10,10,10,10,10,10,-,-,-,-,-,-,30,-,-,-,-,-,M,LG,humanoid,CoS
167,Lief Lipsiege,4,1d8,-,10,-,0,10,10,10,10,10,10,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,humanoid,CoS
168,Ludmilla Vilisevic,82,11d8 + 33,-,15,-,5,16,16,16,11,10,12,-,+6,-,-,+3,-,30,-,-,-,-,-,M,NE,undead,CoS
169,Luvash,65,10d8 + 20,-,15,-,2,15,16,14,14,11,14,+4,+5,-,-,+2,-,30,-,-,-,-,-,M,CE,humanoid,CoS
170,Mad Mary,4,1d8,-,10,-,0,10,10,10,10,10,10,-,-,-,-,-,-,30,-,-,-,-,-,M,CN,humanoid,CoS
171,Madam Eva,88,16d8 + 16,-,10,-,10,8,11,12,17,20,18,-,-,+5,-,-,-,20,-,-,-,-,-,M,CN,humanoid,CoS
172,Majesto,10,3d4 + 3,-,13,-,1,6,17,13,11,12,14,-,-,-,-,-,-,20,40,-,-,-,-,T,LE,fiend,CoS
173,Marzena Belview,26,4d8 + 8,-,11,-,1/4,12,9,15,9,10,6,-,-,-,-,-,-,20,40,-,-,-,-,M,A,humanoid,CoS
174,Milivoj,4,1d8,-,10,-,0,15,10,10,10,10,10,-,-,-,-,-,-,30,-,-,-,-,-,M,N,humanoid,CoS
